System Informer 3.2.2103
Windows NT 10.0 (64-bit)
6:10:45 AM 20/07/2026

TID	CPU	Start address																																				Priority (symbolic)	Priority	CPU (user)	Cycles		Cycles delta	Context switches	Ideal processor	Name		Priority boost	Service	Stack usage		Start module															
10688	0.86	Overwatch.exe+0x265a4e8																																			Normal			9		0.65		1,268,017,918	691,909		404,994			0:9							204 kB | 1 MB (19.92%)																	
11180		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				1,233,408,206			26,584			0:5							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11212		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				1,233,079,524			26,681			0:13							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11228		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				1,232,938,016			27,031			0:1							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11196		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				1,232,492,341			26,968			0:9							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11176	0.37	Overwatch.exe+0x2678fa0																																			Normal			9		0.37		746,515,850	299,370		505,275			0:4							128 kB | 1 MB (12.50%)																	
11248	0.22	amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9		0.22		359,702,923	179,144		843,592			0:6							16 kB | 1 MB (1.56%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
10952	0.30	Overwatch.exe+0x2678fa0																																			Normal			9		0.30		339,577,412	237,539		2,281,618		0:2							128 kB | 1 MB (12.50%)																	
10960	0.30	Overwatch.exe+0x2678fa0																																			Normal			9		0.20		339,259,795	239,335		2,281,407		0:4							128 kB | 1 MB (12.50%)																	
10956	0.28	Overwatch.exe+0x2678fa0																																			Normal			9		0.28		337,903,617	228,693		2,279,235		0:3							128 kB | 1 MB (12.50%)																	
10720	0.04	Overwatch_loader.dll+0x3fbf70																																		Normal			9		0.02		324,689,751	35,517		184,570			0:9							16 kB | 1 MB (1.56%)																	
11244	0.17	amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9		0.17		204,498,147	139,616		1,582,047		0:5							8 kB | 1 MB (0.78%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11048	0.23	Overwatch.exe+0x283fd90																																			Above normal		10		0.23		92,710,259	187,975		308,094			0:15							128 kB | 1 MB (12.50%)																	
1652	0.24	Overwatch.exe+0x2678fa0																																			Normal			8		0.24		49,681,770	193,953		45,805			0:11							64 kB | 1 MB (6.25%)																	
11164		Overwatch.exe+0x2678fa0																																			Normal			8				13,725,395	108		16,380			0:1							64 kB | 1 MB (6.25%)																	
11060		Overwatch.exe+0x2679008																																			Normal			8				12,644,989	5,617		4,055			0:2							36 kB | 1 MB (3.52%)																	
11152		Overwatch.exe+0x2678fa0																																			Normal			9				6,963,245			13,945			0:14							20 kB | 1 MB (1.95%)																	
11068		Overwatch.exe+0x2679008																																			Time critical		15				6,228,248	3,142		419,641			0:4							8 kB | 1 MB (0.78%)																	
12720		Overwatch.exe+0x2678fa0																																			Normal			10				5,786,721	3,310		130,766			0:4							64 kB | 1 MB (6.25%)																	
11140		Overwatch.exe+0x2678fa0																																			Normal			9				5,609,529			13,766			0:11							32 kB | 1 MB (3.12%)																	
